ticker,name,mcap,turnover
032500,케이엠더블유,712195912880.0,14900820135.5
115180,큐리언트,693979418500.0,4079870375.5
189300,인텔리안테크,686126058300.0,19052939973.333332
036830,솔브레인홀딩스,671505377750.0,5362297865.833333
466100,클로봇,669577985700.0,15503098462.283333
035760,CJ ENM,667742739300.0,3787064365.0
041830,인바디,661911306200.0,5515999207.5
006730,서부T&D,657552922290.0,7847593607.166667
090360,로보스타,657150000000.0,53505769531.666664
161580,필옵틱스,655210803650.0,19841941895.0
102710,이엔에프테크놀로지,645810187200.0,6766249599.166667
445680,큐리옥스바이오시스템즈,641681411500.0,8470732728.333333
048410,현대바이오,632111496600.0,22211539541.0
253450,스튜디오드래곤,625216758400.0,2180354751.0
397030,에이프릴바이오,621637080300.0,16557749345.0
094170,동운아나텍,616843112000.0,5789254322.5
490470,세미파이브,611437156800.0,38897807533.666664
053800,안랩,606394577000.0,2849661205.0
052400,코나아이,602192082850.0,6793835957.5
037460,삼지전자,597257905200.0,14097432722.5
023160,태광,594946566000.0,9792543010.0
053610,프로텍,586800000000.0,5725077193.333333
050890,쏠리드,583870291740.0,60025626902.166664
222080,SFA넥셀,581795477120.0,36924557320.0
171090,선익시스템,574839419400.0,8339794575.0
044490,태웅,574211834700.0,8293716283.333333
225570,넥슨게임즈,565738894660.0,1502001657.0
045100,한양이엔지,552125000000.0,5816493031.666667
112040,위메이드,550983879090.0,4453683962.333333
067160,SOOP,548875124250.0,3400774006.6666665
121600,나노신소재,547506828150.0,6923012038.333333
124500,아이티센글로벌,545306384500.0,11107032227.333334
383310,에코프로에이치엔,536958259200.0,9199213999.166666
046890,서울반도체,536409680000.0,27004007775.666668
439960,코스모로보틱스,533812797700.0,222318968637.84314
122640,예스티,532460065100.0,22313872491.666668
059090,미코,524977582380.0,13683771564.333334
476060,온코닉테라퓨틱스,524460552000.0,7713057266.166667
399720,가온칩스,524160904800.0,12970968798.333334
086900,메디톡스,521842535500.0,4732963568.333333
041960,코미팜,520899789750.0,2237867555.6666665
060250,NHN KCP,515260639130.0,8032457600.666667
160190,하이젠알앤엠,513976320000.0,5064317807.833333
295310,에이치브이엠,511377363450.0,27464878430.0
033500,동성화인텍,511320872700.0,4362815928.333333
052020,에스티큐브,505115852130.0,5742998222.833333
456160,지투지바이오,503871607800.0,13281578859.166666
251970,펌텍코리아,502200000000.0,2046282729.1666667
101160,월덱스,501934187200.0,4144382295.8333335
126340,비나텍,495448566000.0,20641104426.666668
033790,피노,494098789910.0,20518462508.333332
